plate	OCFU-HD	OCFU-WC	Superman	Louise	Pip	Jen	Becky	John	Helen	Dav	n1	n2	OCFU3-WC	OCFU3-HD	IJ-10-6000-0.85	IJ-2012-T220	IJ-2012-T230	IJ-2012-T240
S	201	197	207	207	202	211	204	206	207	216	203	202	201	204	199	201	201	201
R	251	244	257	259	248	260	245	258	257	251	240	245	246	253	252	238	240	250
Q	516	501	525	543	525	549	502	521	539	516	499	492	508	525	490	495	501	511
P	346	345	359	364	351	359	344	363	361	344	335	332	349	356	353	338	341	355
O	205	204	211	211	210	212	206	211	214	219	198	193	207	205	198	198	198	214
N	12	12	12	12	12	12	12	13	12	12	19	11	12	12	25	15	14	23
M	17	18	18	18	18	18	17	18	18	18	32	23	18	18	30	18	22	29
L	18	19	17	17	17	17	17	18	18	17	24	20	17	17	34	23	25	29
K	28	25	27	27	27	27	25	28	27	27	36	29	26	26	43	28	28	32
J	47	44	47	46	46	47	47	47	47	46	54	46	43	46	48	50	53	61
I	29	26	26	26	27	29	25	26	26	27	31	30	26	27	39	27	29	32
H	12	12	9	9	11	11	10	9	9	9	17	13	12	10	29	10	13	23
G	1097	1025	1193	1207	1119	1226	1110	1193	1202	1023	1059	1037	1067	1149	1032	1083	1084	1091
F	1091	1028	1090	1197	1011	1232	1061	1090	1099	909	1002	982	1038	1109	953	1052	1057	1059
E	55	56	56	57	59	58	54	55	56	52	62	57	57	55	57	57	58	62
D	110	104	103	103	100	107	102	104	104	103	93	90	102	100	102	95	97	101
C	106	102	107	109	107	111	107	107	106	108	112	102	105	105	107	107	110	119
B	124	125	129	130	123	137	126	129	129	123	122	116	123	123	122	120	122	131
A	70	69	69	69	69	69	69	69	69	68	66	68	68	69	71	66	67	72
